Date,Open,High,Low,Close,Adj Close,Volume
2024-02-20,2400.000000,2500.000000,2360.000000,2480.000000,2459.092285,76880900
2024-02-21,2480.000000,2500.000000,2400.000000,2440.000000,2419.429688,66638500
2024-02-22,2450.000000,2470.000000,2430.000000,2460.000000,2439.260986,32330100
2024-02-23,2470.000000,2480.000000,2420.000000,2450.000000,2429.345215,22746800
2024-02-26,2450.000000,2470.000000,2420.000000,2430.000000,2409.513916,21265000
2024-02-27,2420.000000,2550.000000,2400.000000,2510.000000,2488.839600,53285600
2024-02-28,2530.000000,2540.000000,2470.000000,2480.000000,2459.092285,29185500
2024-02-29,2490.000000,2520.000000,2430.000000,2470.000000,2449.176758,23360100
2024-03-01,2470.000000,2480.000000,2370.000000,2420.000000,2399.598145,27762600
2024-03-04,2420.000000,2450.000000,2380.000000,2410.000000,2389.682617,22411600
2024-03-05,2410.000000,2450.000000,2410.000000,2430.000000,2409.513916,18420700
2024-03-06,2430.000000,2480.000000,2400.000000,2470.000000,2449.176758,25245100
2024-03-07,2500.000000,2520.000000,2470.000000,2480.000000,2459.092285,31395800
2024-03-08,2500.000000,2620.000000,2470.000000,2600.000000,2578.080811,74013000
2024-03-13,2610.000000,2850.000000,2610.000000,2850.000000,2825.973145,98769200
2024-03-14,2870.000000,2960.000000,2680.000000,2710.000000,2687.153320,103946700
2024-03-15,2720.000000,2780.000000,2650.000000,2670.000000,2647.490723,45921300
2024-03-18,2670.000000,2700.000000,2610.000000,2640.000000,2617.743652,42883800
2024-03-19,2650.000000,2730.000000,2640.000000,2660.000000,2637.574951,57088500
2024-03-20,2690.000000,2720.000000,2640.000000,2660.000000,2637.574951,23201700
2024-03-21,2690.000000,2720.000000,2660.000000,2680.000000,2657.406250,21906100
2024-03-22,2680.000000,2680.000000,2620.000000,2630.000000,2607.827881,20727900
2024-03-25,2680.000000,2680.000000,2630.000000,2660.000000,2637.574951,26442400
2024-03-26,2680.000000,2680.000000,2630.000000,2680.000000,2657.406250,19794100
2024-03-27,2690.000000,2760.000000,2670.000000,2720.000000,2697.069092,56342100
2024-03-28,2740.000000,2750.000000,2670.000000,2710.000000,2687.153320,20968100
2024-04-01,2710.000000,2720.000000,2440.000000,2550.000000,2528.502197,98265300
2024-04-02,2550.000000,2700.000000,2510.000000,2690.000000,2667.322021,68896800
2024-04-03,2690.000000,2690.000000,2590.000000,2640.000000,2617.743652,24102000
2024-04-04,2660.000000,2740.000000,2650.000000,2730.000000,2706.984863,35017300
2024-04-05,2730.000000,2750.000000,2690.000000,2700.000000,2677.237793,13370900
2024-04-16,2590.000000,2640.000000,2520.000000,2550.000000,2528.502197,39244700
2024-04-17,2570.000000,2600.000000,2460.000000,2480.000000,2459.092285,35246500
2024-04-18,2510.000000,2620.000000,2510.000000,2600.000000,2578.080811,60707600
2024-04-19,2560.000000,2570.000000,2470.000000,2540.000000,2518.586670,43648900
2024-04-22,2540.000000,2560.000000,2480.000000,2540.000000,2518.586670,33008100
2024-04-23,2550.000000,2630.000000,2530.000000,2600.000000,2578.080811,39282900
2024-04-24,2620.000000,2670.000000,2600.000000,2640.000000,2617.743652,33088200
2024-04-25,2640.000000,2650.000000,2580.000000,2580.000000,2558.249268,15328800
2024-04-26,2580.000000,2600.000000,2470.000000,2470.000000,2449.176758,34490800
2024-04-29,2480.000000,2530.000000,2460.000000,2510.000000,2488.839600,23565700
2024-04-30,2520.000000,2640.000000,2520.000000,2640.000000,2617.743652,37794200
2024-05-02,2640.000000,2640.000000,2510.000000,2540.000000,2518.586670,33703700
2024-05-03,2550.000000,2650.000000,2520.000000,2630.000000,2607.827881,34475700
2024-05-06,2670.000000,2870.000000,2670.000000,2790.000000,2766.479004,97349400
2024-05-07,2790.000000,2800.000000,2700.000000,2700.000000,2677.237793,35836500
2024-05-08,2700.000000,2740.000000,2510.000000,2540.000000,2518.586670,87917000
2024-05-13,2540.000000,2550.000000,2230.000000,2300.000000,2280.609863,172382700
2024-05-14,2310.000000,2390.000000,2270.000000,2350.000000,2330.188477,88250200
2024-05-15,2350.000000,2550.000000,2340.000000,2540.000000,2518.586670,99439800
2024-05-16,2580.000000,2650.000000,2540.000000,2540.000000,2518.586670,66238200
2024-05-17,2550.000000,2580.000000,2490.000000,2520.000000,2498.755127,39459600
2024-05-20,2530.000000,2540.000000,2460.000000,2470.000000,2449.176758,19578200
2024-05-21,2470.000000,2470.000000,2350.000000,2360.000000,2340.104004,34663600
2024-05-22,2380.000000,2410.000000,2310.000000,2330.000000,2310.356934,50980500
2024-05-27,2330.000000,2340.000000,2260.000000,2270.000000,2250.862793,41880400
2024-05-28,2280.000000,2340.000000,2280.000000,2290.000000,2270.694092,27318200
2024-05-29,2290.000000,2300.000000,2160.000000,2200.000000,2181.452881,36229700
2024-05-30,2200.000000,2200.000000,2110.000000,2160.000000,2160.000000,44789500
2024-05-31,2170.000000,2240.000000,2160.000000,2200.000000,2200.000000,34438100
2024-06-03,2240.000000,2270.000000,2200.000000,2230.000000,2230.000000,37069500
2024-06-04,2240.000000,2330.000000,2240.000000,2280.000000,2280.000000,42763000
2024-06-05,2280.000000,2310.000000,2230.000000,2260.000000,2260.000000,17675600
2024-06-06,2240.000000,2260.000000,2150.000000,2190.000000,2190.000000,37665500
2024-06-07,2180.000000,2240.000000,2170.000000,2180.000000,2180.000000,17291900
2024-06-10,2170.000000,2170.000000,2090.000000,2130.000000,2130.000000,23351900
2024-06-11,2130.000000,2190.000000,2120.000000,2170.000000,2170.000000,16401500
2024-06-12,2160.000000,2170.000000,2120.000000,2150.000000,2150.000000,8102600
2024-06-13,2190.000000,2290.000000,2170.000000,2280.000000,2280.000000,33478400
2024-06-14,2290.000000,2300.000000,2230.000000,2280.000000,2280.000000,36542200
2024-06-19,2300.000000,2450.000000,2300.000000,2410.000000,2410.000000,64222300
2024-06-20,2430.000000,2470.000000,2410.000000,2440.000000,2440.000000,43909600
2024-06-21,2440.000000,2500.000000,2410.000000,2420.000000,2420.000000,46445000
2024-06-24,2420.000000,2540.000000,2420.000000,2510.000000,2510.000000,45739100
2024-06-25,2520.000000,2580.000000,2460.000000,2500.000000,2500.000000,41163700
2024-06-26,2500.000000,2560.000000,2500.000000,2550.000000,2550.000000,30114500
2024-06-27,2550.000000,2610.000000,2520.000000,2540.000000,2540.000000,36800000
2024-06-28,2550.000000,2630.000000,2550.000000,2620.000000,2620.000000,80972200
2024-07-01,2680.000000,2680.000000,2540.000000,2610.000000,2610.000000,36712200
2024-07-02,2610.000000,2610.000000,2540.000000,2560.000000,2560.000000,19272200
2024-07-03,2570.000000,2590.000000,2470.000000,2500.000000,2500.000000,35106600
2024-07-04,2500.000000,2550.000000,2480.000000,2490.000000,2490.000000,28913100
2024-07-05,2490.000000,2530.000000,2470.000000,2490.000000,2490.000000,21006300
2024-07-08,2500.000000,2500.000000,2430.000000,2450.000000,2450.000000,33712200
2024-07-09,2460.000000,2540.000000,2450.000000,2520.000000,2520.000000,50615600
2024-07-10,2530.000000,2550.000000,2470.000000,2470.000000,2470.000000,24698800
2024-07-11,2490.000000,2530.000000,2480.000000,2510.000000,2510.000000,20414700
2024-07-12,2520.000000,2560.000000,2490.000000,2510.000000,2510.000000,43583200
2024-07-15,2510.000000,2520.000000,2470.000000,2480.000000,2480.000000,16567500
2024-07-16,2480.000000,2490.000000,2450.000000,2460.000000,2460.000000,14691200
2024-07-17,2470.000000,2500.000000,2470.000000,2480.000000,2480.000000,15406900
2024-07-18,2480.000000,2510.000000,2460.000000,2490.000000,2490.000000,20095600
2024-07-19,2490.000000,2490.000000,2450.000000,2450.000000,2450.000000,20005300
2024-07-22,2460.000000,2540.000000,2460.000000,2520.000000,2520.000000,15717900
